Titulo1=  Dados detalhados das AIH - por local internação - Brasil
Titulo2=Quantidade aprovada por Grupo procedimento segundo Município
Rodape=Período:Set/2023
Nomemapa=c:\tabwin\br_municip.map
"Município";"01 Ações de promoção e prevenção em saúde";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"06 Medicamentos";"07 Órteses, próteses e materiais especiais";"08 Ações complementares da atenção à saúde";"Total"
"421520 ROMELANDIA";0;0;0;0;0;0;0;0;0
"421530 SALETE";0;53;145;0;0;0;0;12;210
"421535 SALTINHO";0;0;0;0;0;0;0;0;0
"421540 SALTO VELOSO";0;63;24;0;0;0;0;18;105
"421545 SANGAO";0;0;0;0;0;0;0;0;0
"421550 SANTA CECILIA";0;250;866;36;0;0;0;76;1228
"421555 SANTA HELENA";0;0;0;0;0;0;0;0;0
"421560 SANTA ROSA DE LIMA";0;0;0;0;0;0;0;0;0
"421565 SANTA ROSA DO SUL";0;0;0;0;0;0;0;0;0
"421567 SANTA TEREZINHA";0;0;0;0;0;0;0;0;0
"421568 SANTA TEREZINHA DO PROGRESSO";0;0;0;0;0;0;0;0;0
"421569 SANTIAGO DO SUL";0;0;0;0;0;0;0;0;0
"421570 SANTO AMARO DA IMPERATRIZ";0;857;1601;498;0;0;52;558;3566
"421575 SAO BERNARDINO";0;0;0;0;0;0;0;0;0
"421580 SAO BENTO DO SUL";0;6438;4368;571;10;36;101;1163;12687
"421590 SAO BONIFACIO";0;2;2;0;0;0;0;1;5
"421600 SAO CARLOS";0;122;80;27;0;0;10;71;310
"421605 SAO CRISTOVAO DO SUL";0;0;0;0;0;0;0;0;0
"421610 SAO DOMINGOS";0;0;0;0;0;0;0;0;0
"421620 SAO FRANCISCO DO SUL";0;1432;74;80;0;0;45;389;2020
"421625 SAO JOAO DO OESTE";0;109;22;131;0;0;5;96;363
"421630 SAO JOAO BATISTA";0;653;137;28;0;0;4;142;964
"421635 SAO JOAO DO ITAPERIU";0;0;0;0;0;0;0;0;0
