Titulo1=  Dados detalhados das AIH - por local internação - Brasil
Titulo2=Quantidade aprovada por Grupo procedimento segundo Município
Rodape=Período:Set/2023
Nomemapa=c:\tabwin\br_municip.map
"Município";"01 Ações de promoção e prevenção em saúde";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"06 Medicamentos";"07 Órteses, próteses e materiais especiais";"08 Ações complementares da atenção à saúde";"Total"
"150745 SAO GERALDO DO ARAGUAIA";0;260;175;40;0;0;0;162;637
"150746 SAO JOAO DA PONTA";0;0;0;0;0;0;0;0;0
"150747 SAO JOAO DE PIRABAS";0;271;66;6;0;0;0;111;454
"150750 SAO JOAO DO ARAGUAIA";0;20;86;0;0;0;0;0;106
"150760 SAO MIGUEL DO GUAMA";0;1181;547;2;0;0;0;127;1857
"150770 SAO SEBASTIAO DA BOA VISTA";0;66;75;41;0;0;0;116;298
"150775 SAPUCAIA";0;20;22;17;0;0;0;23;82
"150780 SENADOR JOSE PORFIRIO";0;7;49;16;0;0;0;6;78
"150790 SOURE";0;0;0;0;0;0;0;0;0
"150795 TAILANDIA";0;25;214;195;0;0;21;925;1380
"150796 TERRA ALTA";0;0;0;0;0;0;0;0;0
"150797 TERRA SANTA";0;174;74;26;0;0;0;239;513
"150800 TOME-ACU";0;1049;244;46;0;0;0;899;2238
"150803 TRACUATEUA";0;7;541;0;0;0;0;341;889
"150805 TRAIRAO";0;577;111;18;0;0;0;0;706
"150808 TUCUMA";0;815;1855;66;0;0;0;567;3303
"150810 TUCURUI";0;10969;10290;710;0;1;87;2728;24785
"150812 ULIANOPOLIS";0;1354;1567;42;0;0;0;544;3507
"150815 URUARA";0;2346;4454;73;0;0;0;722;7595
"150820 VIGIA";0;24;122;0;0;0;0;213;359
"150830 VISEU";0;0;0;0;0;0;0;0;0
"150835 VITORIA DO XINGU";0;592;45;60;0;0;0;454;1151
"150840 XINGUARA";0;268;1949;352;0;0;0;151;2720
" MUNICIPIO IGNORADO - AP";0;0;0;0;0;0;0;0;0
"160005 SERRA DO NAVIO";0;0;1;0;0;0;0;0;1
"160010 AMAPA";0;79;80;0;0;0;0;38;197
"160015 PEDRA BRANCA DO AMAPARI";0;17;187;0;0;0;0;47;251
"160020 CALCOENE";0;25;38;0;0;0;0;0;63
"160021 CUTIAS";0;0;0;0;0;0;0;0;0
"160023 FERREIRA GOMES";0;0;8;0;0;0;0;0;8
"160025 ITAUBAL";0;0;0;0;0;0;0;0;0
"160027 LARANJAL DO JARI";0;1426;3417;171;0;0;0;623;5637
"160030 MACAPA";0;52967;59573;2373;0;235;275;15451;130874
"160040 MAZAGAO";0;0;0;0;0;0;0;0;0
"160050 OIAPOQUE";0;549;532;56;0;0;0;0;1137
"160053 PORTO GRANDE";0;0;0;0;0;0;0;0;0
"160055 PRACUUBA";0;0;0;0;0;0;0;0;0
"160060 SANTANA";0;7068;5902;218;0;0;0;432;13620
"160070 TARTARUGALZINHO";0;0;4;0;0;0;0;1;5
"160080 VITORIA DO JARI";0;0;0;0;0;0;0;0;0
" MUNICIPIO IGNORADO - TO";0;0;0;0;0;0;0;0;0
"170025 ABREULANDIA";0;0;0;0;0;0;0;0;0
"170030 AGUIARNOPOLIS";0;0;0;0;0;0;0;0;0
"170035 ALIANCA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170040 ALMAS";0;0;0;0;0;0;0;0;0
"170070 ALVORADA";0;118;643;29;0;0;0;40;830
"170100 ANANAS";0;29;10;0;0;0;0;0;39
"170105 ANGICO";0;0;0;0;0;0;0;0;0
"170110 APARECIDA DO RIO NEGRO";0;0;0;0;0;0;0;0;0
"170130 ARAGOMINAS";0;0;0;0;0;0;0;0;0
"170190 ARAGUACEMA";0;0;50;30;0;0;0;15;95
"170200 ARAGUACU";0;465;629;35;0;0;0;133;1262
"170210 ARAGUAINA";313;26765;26802;895;0;303;244;9411;64733
"170215 ARAGUANA";0;0;0;0;0;0;0;0;0
"170220 ARAGUATINS";0;188;27;42;0;0;0;32;289
"170230 ARAPOEMA";0;187;164;26;0;0;0;53;430
"170240 ARRAIAS";0;0;648;84;0;0;0;0;732
"170255 AUGUSTINOPOLIS";0;6674;2499;264;0;3;0;1202;10642
"170270 AURORA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170290 AXIXA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170300 BABACULANDIA";0;0;0;0;0;0;0;0;0
"170305 BANDEIRANTES DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170307 BARRA DO OURO";0;0;0;0;0;0;0;0;0
"170310 BARROLANDIA";0;0;0;0;0;0;0;0;0
"170320 BERNARDO SAYAO";0;0;0;0;0;0;0;0;0
"170330 BOM JESUS DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170360 BRASILANDIA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170370 BREJINHO DE NAZARE";0;0;7;0;0;0;0;0;7
"170380 BURITI DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170382 CACHOEIRINHA";0;0;0;0;0;0;0;0;0
"170384 CAMPOS LINDOS";0;0;0;0;0;0;0;0;0
"170386 CARIRI DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170388 CARMOLANDIA";0;0;0;0;0;0;0;0;0
"170389 CARRASCO BONITO";0;0;0;0;0;0;0;0;0
"170390 CASEARA";0;0;0;0;0;0;0;0;0
"170410 CENTENARIO";0;0;0;0;0;0;0;0;0
"170460 CHAPADA DE AREIA";0;0;0;0;0;0;0;0;0
"170510 CHAPADA DA NATIVIDADE";0;0;0;0;0;0;0;0;0
"170550 COLINAS DO TOCANTINS";0;380;225;62;0;0;0;328;995
"170555 COMBINADO";0;0;0;0;0;0;0;0;0
"170560 CONCEICAO DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170600 COUTO MAGALHAES";0;0;0;0;0;0;0;0;0
"170610 CRISTALANDIA";0;0;0;0;0;0;0;0;0
"170625 CRIXAS DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170650 DARCINOPOLIS";0;0;0;0;0;0;0;0;0
"170700 DIANOPOLIS";0;17;683;44;0;0;0;366;1110
"170710 DIVINOPOLIS DO TOCANTINS";0;0;0;17;0;0;0;0;17
"170720 DOIS IRMAOS DO TOCANTINS";0;0;0;0;0;0;0;0;0
"170730 DUERE";0;0;0;0;0;0;0;0;0
"170740 ESPERANTINA";0;0;0;0;0;0;0;0;0
"170755 FATIMA";0;0;0;0;0;0;0;0;0
"170765 FIGUEIROPOLIS";0;0;0;0;0;0;0;0;0
"170770 FILADELFIA";0;0;0;0;0;0;0;0;0
"170820 FORMOSO DO ARAGUAIA";0;286;528;36;0;0;0;119;969
"170825 FORTALEZA DO TABOCAO";0;0;0;0;0;0;0;0;0
"170830 GOIANORTE";0;0;0;0;0;0;0;0;0
"170900 GOIATINS";0;0;9;0;0;0;0;0;9
"170930 GUARAI";0;1738;1791;210;0;1;29;497;4266
"170950 GURUPI";0;21673;13324;390;0;72;137;908;36504
"170980 IPUEIRAS";0;0;0;0;0;0;0;0;0
"171050 ITACAJA";0;0;0;0;0;0;0;0;0
"171070 ITAGUATINS";0;0;0;0;0;0;0;0;0
"171090 ITAPIRATINS";0;0;0;0;0;0;0;0;0
"171110 ITAPORA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171150 JAU DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171180 JUARINA";0;0;0;0;0;0;0;0;0
"171190 LAGOA DA CONFUSAO";0;0;0;0;0;0;0;0;0
"171195 LAGOA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171200 LAJEADO";0;0;0;0;0;0;0;0;0
"171215 LAVANDEIRA";0;0;0;0;0;0;0;0;0
"171240 LIZARDA";0;0;0;0;0;0;0;0;0
"171245 LUZINOPOLIS";0;0;0;0;0;0;0;0;0
"171250 MARIANOPOLIS DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171270 MATEIROS";0;0;0;0;0;0;0;0;0
"171280 MAURILANDIA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171320 MIRACEMA DO TOCANTINS";0;1991;6457;4162;0;13;60;463;13146
"171330 MIRANORTE";0;0;0;0;0;0;0;0;0
"171360 MONTE DO CARMO";0;0;0;0;0;0;0;0;0
"171370 MONTE SANTO DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171380 PALMEIRAS DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171395 MURICILANDIA";0;0;0;0;0;0;0;0;0
"171420 NATIVIDADE";0;0;3;0;0;0;0;0;3
"171430 NAZARE";0;0;0;0;0;0;0;0;0
"171488 NOVA OLINDA";0;0;0;0;0;0;0;0;0
"171500 NOVA ROSALANDIA";0;0;0;0;0;0;0;0;0
"171510 NOVO ACORDO";0;0;0;0;0;0;0;0;0
"171515 NOVO ALEGRE";0;0;0;0;0;0;0;0;0
"171525 NOVO JARDIM";0;0;0;0;0;0;0;0;0
"171550 OLIVEIRA DE FATIMA";0;0;0;0;0;0;0;0;0
"171570 PALMEIRANTE";0;0;0;0;0;0;0;0;0
"171575 PALMEIROPOLIS";0;2;11;0;0;0;0;0;13
"171610 PARAISO DO TOCANTINS";0;4835;6818;253;0;1;26;796;12729
"171620 PARANA";0;59;114;3;0;0;0;40;216
"171630 PAU D'ARCO";0;0;0;0;0;0;0;0;0
"171650 PEDRO AFONSO";0;857;2007;40;0;0;0;306;3210
"171660 PEIXE";0;0;0;0;0;0;0;0;0
"171665 PEQUIZEIRO";0;0;0;0;0;0;0;0;0
"171670 COLMEIA";0;0;0;0;0;0;0;0;0
"171700 PINDORAMA DO TOCANTINS";0;0;0;27;0;0;0;0;27
"171720 PIRAQUE";0;0;0;0;0;0;0;0;0
"171750 PIUM";0;0;0;0;0;0;0;0;0
"171780 PONTE ALTA DO BOM JESUS";0;0;0;0;0;0;0;0;0
"171790 PONTE ALTA DO TOCANTINS";0;2;4;0;0;0;0;0;6
"171800 PORTO ALEGRE DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171820 PORTO NACIONAL";0;2949;1401;341;0;2;186;1309;6188
"171830 PRAIA NORTE";0;0;0;0;0;0;0;0;0
"171840 PRESIDENTE KENNEDY";0;0;0;0;0;0;0;0;0
"171845 PUGMIL";0;0;0;0;0;0;0;0;0
"171850 RECURSOLANDIA";0;0;0;0;0;0;0;0;0
"171855 RIACHINHO";0;0;0;0;0;0;0;0;0
"171865 RIO DA CONCEICAO";0;0;0;0;0;0;0;0;0
"171870 RIO DOS BOIS";0;0;0;0;0;0;0;0;0
"171875 RIO SONO";0;0;0;0;0;0;0;0;0
"171880 SAMPAIO";0;0;0;0;0;0;0;0;0
"171884 SANDOLANDIA";0;0;0;0;0;0;0;0;0
"171886 SANTA FE DO ARAGUAIA";0;0;0;0;0;0;0;0;0
"171888 SANTA MARIA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171889 SANTA RITA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171890 SANTA ROSA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"171900 SANTA TEREZA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"172000 SANTA TEREZINHA DO TOCANTINS";0;0;0;0;0;0;0;0;0
"172010 SAO BENTO DO TOCANTINS";0;0;0;0;0;0;0;0;0
"172015 SAO FELIX DO TOCANTINS";0;0;0;0;0;0;0;0;0
"172020 SAO MIGUEL DO TOCANTINS";0;0;0;0;0;0;0;0;0
"172025 SAO SALVADOR DO TOCANTINS";0;0;0;0;0;0;0;0;0
"172030 SAO SEBASTIAO DO TOCANTINS";0;0;0;0;0;0;0;0;0
"172049 SAO VALERIO";0;0;0;0;0;0;0;0;0
"172065 SILVANOPOLIS";0;0;0;0;0;0;0;0;0
"172080 SITIO NOVO DO TOCANTINS";0;0;101;38;0;0;0;36;175
"172085 SUCUPIRA";0;0;0;0;0;0;0;0;0
"172090 TAGUATINGA";0;368;276;85;0;0;0;126;855
"172093 TAIPAS DO TOCANTINS";0;0;0;0;0;0;0;0;0
"172097 TALISMA";0;0;0;0;0;0;0;0;0
"172100 PALMAS";0;8393;14946;1566;9;10;403;8937;34264
"172110 TOCANTINIA";0;0;0;0;0;0;0;0;0
"172120 TOCANTINOPOLIS";0;109;45;56;0;0;0;226;436
"172125 TUPIRAMA";0;0;0;0;0;0;0;0;0
"172130 TUPIRATINS";0;0;0;0;0;0;0;0;0
"172208 WANDERLANDIA";0;0;0;0;0;0;0;0;0
"172210 XAMBIOA";0;840;423;33;0;0;0;133;1429
" MUNICIPIO IGNORADO - MA";0;0;0;0;0;0;0;0;0
"210005 ACAILANDIA";0;6447;8499;770;1;8;136;2553;18414
"210010 AFONSO CUNHA";0;0;0;0;0;0;0;0;0
"210015 AGUA DOCE DO MARANHAO";0;0;0;0;0;0;0;0;0
"210020 ALCANTARA";0;0;0;0;0;0;0;0;0
"210030 ALDEIAS ALTAS";0;0;49;0;0;0;0;104;153
"210040 ALTAMIRA DO MARANHAO";0;0;0;0;0;0;0;0;0
"210043 ALTO ALEGRE DO MARANHAO";0;2152;7710;314;0;0;0;1067;11243
"210047 ALTO ALEGRE DO PINDARE";0;54;2054;66;0;0;0;614;2788
"210050 ALTO PARNAIBA";0;0;0;0;0;0;0;0;0
"210055 AMAPA DO MARANHAO";0;0;0;0;0;0;0;0;0
"210060 AMARANTE DO MARANHAO";0;54;1332;66;0;0;0;809;2261
"210070 ANAJATUBA";0;0;0;0;0;0;0;0;0
"210080 ANAPURUS";0;4;235;25;0;0;0;82;346
"210083 APICUM-ACU";0;18;392;5;0;0;0;201;616
"210087 ARAGUANA";0;0;72;0;0;0;0;0;72
"210090 ARAIOSES";0;18;55;0;0;0;0;20;93
"210095 ARAME";0;0;0;0;0;0;0;0;0
"210100 ARARI";0;0;0;0;0;0;0;0;0
"210110 AXIXA";0;0;24;0;0;0;0;59;83
"210120 BACABAL";0;10815;23470;1944;0;5;109;3277;39620
"210125 BACABEIRA";0;80;123;29;0;0;0;60;292
"210130 BACURI";0;12;415;1;0;0;0;208;636
"210135 BACURITUBA";0;0;0;0;0;0;0;0;0
"210140 BALSAS";0;8676;19520;1208;0;0;0;1577;30981
"210150 BARAO DE GRAJAU";0;290;49;0;0;0;0;89;428
"210160 BARRA DO CORDA";0;2127;9030;350;0;0;20;798;12325
"210170 BARREIRINHAS";0;6828;7368;820;0;11;63;1187;16277
"210173 BELAGUA";0;0;0;0;0;0;0;0;0
"210177 BELA VISTA DO MARANHAO";0;0;183;0;0;0;0;103;286
"210180 BENEDITO LEITE";0;0;0;0;0;0;0;0;0
"210190 BEQUIMAO";0;7;464;2;0;0;0;92;565
"210193 BERNARDO DO MEARIM";0;0;136;0;0;0;0;0;136
"210197 BOA VISTA DO GURUPI";0;0;0;0;0;0;0;0;0
"210200 BOM JARDIM";0;46;674;59;0;0;0;491;1270
"210203 BOM JESUS DAS SELVAS";0;42;336;0;0;0;0;203;581
"210207 BOM LUGAR";0;0;0;0;0;0;0;0;0
"210210 BREJO";0;0;239;13;0;0;0;72;324
"210215 BREJO DE AREIA";0;0;0;0;0;0;0;0;0
"210220 BURITI";0;10;180;0;0;0;0;215;405
"210230 BURITI BRAVO";0;83;318;8;0;0;0;221;630
"210232 BURITICUPU";0;116;489;104;0;0;0;130;839
"210235 BURITIRANA";0;0;0;0;0;0;0;0;0
"210237 CACHOEIRA GRANDE";0;0;0;0;0;0;0;0;0
"210240 CAJAPIO";0;0;0;0;0;0;0;0;0
"210250 CAJARI";0;0;39;1;0;0;0;50;90
"210255 CAMPESTRE DO MARANHAO";0;0;0;0;0;0;0;0;0
"210260 CANDIDO MENDES";0;0;120;0;0;0;0;60;180
"210270 CANTANHEDE";0;6;564;42;0;0;0;165;777
"210275 CAPINZAL DO NORTE";0;0;0;0;0;0;0;0;0
"210280 CAROLINA";0;12;1093;12;0;0;0;399;1516
"210290 CARUTAPERA";0;413;3550;361;0;0;0;828;5152
"210300 CAXIAS";0;13569;23567;3247;0;5;116;7903;48407
"210310 CEDRAL";0;8;390;1;0;0;0;76;475
"210312 CENTRAL DO MARANHAO";0;0;54;0;0;0;0;0;54
"210315 CENTRO DO GUILHERME";0;0;0;0;0;0;0;0;0
"210317 CENTRO NOVO DO MARANHAO";0;0;0;0;0;0;0;0;0
"210320 CHAPADINHA";0;2614;4262;314;0;0;0;923;8113
"210325 CIDELANDIA";0;0;81;0;0;0;0;158;239
"210330 CODO";0;4969;1585;587;0;0;0;1482;8623
"210340 COELHO NETO";0;182;130;89;0;0;0;576;977
"210350 COLINAS";0;884;2679;80;0;0;0;206;3849
"210355 CONCEICAO DO LAGO-ACU";0;0;0;0;0;0;0;0;0
"210360 COROATA";0;305;24346;2424;0;0;2;2269;29346
"210370 CURURUPU";0;566;567;148;0;0;0;28;1309
"210375 DAVINOPOLIS";0;0;0;0;0;0;0;0;0
"210380 DOM PEDRO";0;0;0;0;0;0;0;0;0
"210390 DUQUE BACELAR";0;0;89;0;0;0;0;110;199
"210400 ESPERANTINOPOLIS";0;0;987;42;0;0;0;252;1281
"210405 ESTREITO";0;0;140;40;0;0;0;344;524
"210407 FEIRA NOVA DO MARANHAO";0;0;0;0;0;0;0;0;0
"210408 FERNANDO FALCAO";0;6;82;0;0;0;0;29;117
"210409 FORMOSA DA SERRA NEGRA";0;0;255;0;0;0;0;132;387
"210410 FORTALEZA DOS NOGUEIRAS";0;0;334;0;0;0;0;40;374
"210420 FORTUNA";0;0;0;0;0;0;0;0;0
"210430 GODOFREDO VIANA";0;0;0;0;0;0;0;0;0
"210440 GONCALVES DIAS";0;0;0;0;0;0;0;0;0
"210450 GOVERNADOR ARCHER";0;0;0;0;0;0;0;0;0
"210455 GOVERNADOR EDISON LOBAO";0;0;31;0;0;0;0;36;67
"210460 GOVERNADOR EUGENIO BARROS";0;0;0;0;0;0;0;0;0
"210462 GOVERNADOR LUIZ ROCHA";0;7;90;6;0;0;0;21;124
"210465 GOVERNADOR NEWTON BELLO";0;0;0;0;0;0;0;0;0
"210467 GOVERNADOR NUNES FREIRE";0;223;1693;156;0;0;0;1046;3118
"210470 GRACA ARANHA";0;0;0;0;0;0;0;0;0
"210480 GRAJAU";0;6209;5680;734;0;0;31;1507;14161
"210490 GUIMARAES";0;0;72;0;0;0;0;0;72
"210500 HUMBERTO DE CAMPOS";0;40;159;63;0;0;0;0;262
"210510 ICATU";0;0;29;0;0;0;0;0;29
"210515 IGARAPE DO MEIO";0;72;265;7;0;0;0;65;409
"210520 IGARAPE GRANDE";0;128;257;10;0;0;0;74;469
"210530 IMPERATRIZ";0;24711;23536;3705;0;134;114;15110;67310
"210535 ITAIPAVA DO GRAJAU";0;34;149;27;0;0;0;60;270
"210540 ITAPECURU MIRIM";0;2261;9009;203;0;0;0;1135;12608
"210542 ITINGA DO MARANHAO";0;1;53;10;0;0;0;0;64
"210545 JATOBA";0;0;0;0;0;0;0;0;0
"210547 JENIPAPO DOS VIEIRAS";0;0;372;16;0;0;0;285;673
"210550 JOAO LISBOA";0;222;190;7;0;0;0;137;556
"210560 JOSELANDIA";0;0;0;0;0;0;0;0;0
"210565 JUNCO DO MARANHAO";0;0;0;0;0;0;0;0;0
"210570 LAGO DA PEDRA";0;4481;15763;352;0;0;0;1214;21810
"210580 LAGO DO JUNCO";0;90;92;8;0;0;0;106;296
"210590 LAGO VERDE";0;0;0;0;0;0;0;0;0
"210592 LAGOA DO MATO";0;0;0;0;0;0;0;0;0
"210594 LAGO DOS RODRIGUES";0;280;619;2;0;0;0;125;1026
"210596 LAGOA GRANDE DO MARANHAO";0;22;160;21;0;0;0;61;264
"210598 LAJEADO NOVO";0;0;0;0;0;0;0;0;0
"210600 LIMA CAMPOS";0;272;557;37;0;0;0;159;1025
"210610 LORETO";0;0;135;0;0;0;0;80;215
"210620 LUIS DOMINGUES";0;0;0;0;0;0;0;0;0
"210630 MAGALHAES DE ALMEIDA";0;0;84;2;0;0;0;0;86
"210632 MARACACUME";0;0;0;0;0;0;0;0;0
"210635 MARAJA DO SENA";0;0;0;0;0;0;0;0;0
"210637 MARANHAOZINHO";0;0;83;0;0;0;0;0;83
"210640 MATA ROMA";0;0;122;5;0;0;0;40;167
"210650 MATINHA";0;136;278;20;0;0;0;25;459
"210660 MATOES";0;12;287;0;0;0;0;184;483
"210663 MATOES DO NORTE";0;0;0;0;0;0;0;0;0
"210667 MILAGRES DO MARANHAO";0;0;0;0;0;0;0;0;0
"210670 MIRADOR";0;0;0;0;0;0;0;0;0
"210675 MIRANDA DO NORTE";0;295;653;0;0;0;0;100;1048
"210680 MIRINZAL";0;14;448;0;0;0;0;128;590
"210690 MONCAO";0;0;2187;79;0;0;0;538;2804
"210700 MONTES ALTOS";0;0;0;0;0;0;0;0;0
"210710 MORROS";0;326;671;28;0;0;0;206;1231
"210720 NINA RODRIGUES";0;27;42;17;0;0;0;25;111
"210725 NOVA COLINAS";0;0;128;0;0;0;0;0;128
"210730 NOVA IORQUE";0;0;0;0;0;0;0;0;0
"210735 NOVA OLINDA DO MARANHAO";0;431;256;16;0;0;0;268;971
"210740 OLHO D'AGUA DAS CUNHAS";0;18;388;8;0;0;0;0;414
"210745 OLINDA NOVA DO MARANHAO";0;0;0;0;0;0;0;0;0
"210750 PACO DO LUMIAR";0;1747;5227;280;0;0;0;688;7942
"210760 PALMEIRANDIA";0;62;346;37;0;0;0;163;608
"210770 PARAIBANO";0;82;116;5;0;0;0;237;440
"210780 PARNARAMA";0;0;0;0;0;0;0;0;0
"210790 PASSAGEM FRANCA";0;68;2500;1;0;0;0;373;2942
"210800 PASTOS BONS";0;0;0;0;0;0;0;0;0
"210805 PAULINO NEVES";0;384;272;431;0;0;0;241;1328
"210810 PAULO RAMOS";0;0;1818;0;0;0;0;175;1993
"210820 PEDREIRAS";0;2460;11787;263;0;0;14;695;15219
"210825 PEDRO DO ROSARIO";0;0;14;0;0;0;0;0;14
"210830 PENALVA";0;46;235;21;0;0;0;170;472
"210840 PERI MIRIM";0;0;0;0;0;0;0;0;0
"210845 PERITORO";0;3033;5474;982;0;0;30;1252;10771
"210850 PINDARE-MIRIM";0;0;0;0;0;0;0;0;0
"210860 PINHEIRO";0;10509;19001;1023;0;0;86;3876;34495
"210870 PIO XII";0;194;714;15;0;0;0;205;1128
"210880 PIRAPEMAS";0;106;43;2;0;0;0;89;240
"210890 POCAO DE PEDRAS";0;0;311;11;0;0;0;245;567
"210900 PORTO FRANCO";0;0;132;90;0;0;0;696;918
"210905 PORTO RICO DO MARANHAO";0;0;0;0;0;0;0;0;0
"210910 PRESIDENTE DUTRA";0;19875;25795;604;0;0;141;3888;50303
"210920 PRESIDENTE JUSCELINO";0;0;15;0;0;0;0;0;15
"210923 PRESIDENTE MEDICI";0;410;3006;0;0;0;0;380;3796
"210927 PRESIDENTE SARNEY";0;0;0;0;0;0;0;0;0
"210930 PRESIDENTE VARGAS";0;0;108;0;0;0;0;27;135
"210940 PRIMEIRA CRUZ";0;0;0;0;0;0;0;0;0
"210945 RAPOSA";0;0;0;0;0;0;0;0;0
"210950 RIACHAO";0;0;328;0;0;0;0;0;328
"210955 RIBAMAR FIQUENE";0;0;0;0;0;0;0;0;0
"210960 ROSARIO";0;883;884;30;0;0;0;203;2000
"210970 SAMBAIBA";0;0;165;0;0;0;0;0;165
"210975 SANTA FILOMENA DO MARANHAO";0;0;0;0;0;0;0;0;0
"210980 SANTA HELENA";0;117;507;40;0;0;0;442;1106
"210990 SANTA INES";0;8889;12207;616;0;0;76;3299;25087
"211000 SANTA LUZIA";0;0;0;0;0;0;0;0;0
"211003 SANTA LUZIA DO PARUA";0;2438;3756;132;0;0;0;130;6456
"211010 SANTA QUITERIA DO MARANHAO";0;18;524;4;0;0;0;106;652
"211020 SANTA RITA";0;46;169;80;0;0;0;98;393
"211023 SANTANA DO MARANHAO";0;39;502;15;0;0;0;69;625
"211027 SANTO AMARO DO MARANHAO";0;10;81;0;0;0;0;86;177
"211030 SANTO ANTONIO DOS LOPES";0;0;0;0;0;0;0;0;0
"211040 SAO BENEDITO DO RIO PRETO";0;44;61;12;0;0;0;96;213
"211050 SAO BENTO";0;0;123;56;0;0;0;0;179
"211060 SAO BERNARDO";0;61;620;13;0;0;0;371;1065
"211065 SAO DOMINGOS DO AZEITAO";0;1;188;0;0;0;0;139;328
"211070 SAO DOMINGOS DO MARANHAO";0;43;426;50;0;0;0;437;956
"211080 SAO FELIX DE BALSAS";0;0;93;0;0;0;0;66;159
"211085 SAO FRANCISCO DO BREJAO";0;0;23;0;0;0;0;51;74
"211090 SAO FRANCISCO DO MARANHAO";0;0;48;8;0;0;0;128;184
"211100 SAO JOAO BATISTA";0;0;110;10;0;0;0;328;448
"211102 SAO JOAO DO CARU";0;0;0;0;0;0;0;0;0
"211105 SAO JOAO DO PARAISO";0;0;0;0;0;0;0;0;0
"211107 SAO JOAO DO SOTER";0;1053;105;50;0;0;0;406;1614
"211110 SAO JOAO DOS PATOS";0;228;427;16;0;0;0;266;937
"211120 SAO JOSE DE RIBAMAR";0;1936;942;177;0;0;0;656;3711
"211125 SAO JOSE DOS BASILIOS";0;0;180;0;0;0;0;90;270
"211130 SAO LUIS";0;268327;347509;22126;118;570;1757;74271;714678
"211140 SAO LUIS GONZAGA DO MARANHAO";0;0;335;0;0;0;0;468;803
"211150 SAO MATEUS DO MARANHAO";0;1550;6279;199;0;0;0;493;8521
"211153 SAO PEDRO DA AGUA BRANCA";0;0;78;0;0;0;0;0;78
"211157 SAO PEDRO DOS CRENTES";0;0;92;0;0;0;0;0;92
"211160 SAO RAIMUNDO DAS MANGABEIRAS";0;0;534;0;0;0;0;320;854
"211163 SAO RAIMUNDO DO DOCA BEZERRA";0;0;12;0;0;0;0;0;12
"211167 SAO ROBERTO";0;0;0;0;0;0;0;0;0
"211170 SAO VICENTE FERRER";0;0;0;0;0;0;0;0;0
"211172 SATUBINHA";0;0;22;0;0;0;0;5;27
"211174 SENADOR ALEXANDRE COSTA";0;21;59;0;0;0;0;59;139
"211176 SENADOR LA ROCQUE";0;0;0;0;0;0;0;0;0
"211178 SERRANO DO MARANHAO";0;0;301;0;0;0;0;71;372
"211180 SITIO NOVO";0;8;70;20;0;0;0;93;191
"211190 SUCUPIRA DO NORTE";0;0;68;0;0;0;0;56;124
"211195 SUCUPIRA DO RIACHAO";0;11;83;0;0;0;0;44;138
"211200 TASSO FRAGOSO";0;64;62;0;0;0;0;32;158
"211210 TIMBIRAS";0;1598;2580;277;0;0;0;523;4978
"211220 TIMON";0;6933;6425;723;0;6;0;1893;15980
"211223 TRIZIDELA DO VALE";0;257;839;26;0;0;0;100;1222
"211227 TUFILANDIA";0;0;15;4;0;0;0;8;27
"211230 TUNTUM";0;6;205;7;0;0;0;0;218
"211240 TURIACU";0;101;1249;115;0;0;0;390;1855
"211245 TURILANDIA";0;0;0;0;0;0;0;0;0
"211250 TUTOIA";0;314;2087;48;0;0;0;139;2588
"211260 URBANO SANTOS";0;968;237;49;0;0;0;143;1397
"211270 VARGEM GRANDE";0;230;443;31;0;0;0;138;842
"211280 VIANA";0;1817;6919;273;0;0;0;895;9904
"211285 VILA NOVA DOS MARTIRIOS";0;0;56;0;0;0;0;123;179
"211290 VITORIA DO MEARIM";0;125;246;20;0;0;0;199;590
"211300 VITORINO FREIRE";0;0;0;0;0;0;0;0;0
"211400 ZE DOCA";0;1075;1926;94;0;0;0;18;3113
" MUNICIPIO IGNORADO - PI";0;0;0;0;0;0;0;0;0
"220005 ACAUA";0;0;0;0;0;0;0;0;0
"220010 AGRICOLANDIA";0;0;16;0;0;0;0;0;16
"220020 AGUA BRANCA";0;242;652;27;0;0;0;232;1153
"220025 ALAGOINHA DO PIAUI";0;0;0;0;0;0;0;0;0
